Confidence = 0.85
Measure                   |   Reactive |        FCN |         RNN |        GRU |       LSTM |   Transformer |   Transformer_big |   VanillaTransformer
------------------------- | ---------- | ---------- | ----------- | ---------- | ---------- | ------------- | ----------------- | --------------------
Makespan [s] (simulation) |    90.5656 | 45.9124    | 62.2307     | 43.831     | 44.5075    |    48.5521    |       45.2847     |          44.5166
Predicted [s] (equation)  |    92.4112 | 49.99      | 67.8788     | 47.9376    | 48.8804    |    53.3641    |       48.7607     |          48.6622
MTS                       |    29.8531 | 29.1218    | 30.829      | 29.696     | 30.5013    |    29.5473    |       29.3258     |          29.2446
MTF                       |    68.855  | 68.9269    | 68.8117     | 68.8438    | 68.8706    |    68.8463    |       68.8256     |          68.8473
MTP                       |            | 10.093     | 15.346      |  8.77022   |  8.89427   |     9.1348    |        9.10061    |           9.03076
MTN                       |            | 13.0216    | 17.4036     |  8.81069   |  8.85011   |     9.30611   |        9.05815    |           9.36665
P_TP                      |            |  0.440419  |  0.204415   |  0.460829  |  0.425532  |     0.40806   |        0.468511   |           0.466729
P_FN                      |            |  0.042898  |  0.0964841  |  0.0728111 |  0.0757447 |     0.121746  |        0.0620229  |           0.0796626
P_TN                      |            |  0.442326  |  0.408831   |  0.42212   |  0.469787  |     0.397985  |        0.401718   |           0.39925
P_FP                      |            |  0.0381316 |  0.0776778  |  0.0442396 |  0.0289362 |     0.0604534 |        0.0591603  |           0.0524836
P_NCS                     |            |  0.036225  |  0.204415   |  0         |  0         |     0.0117548 |        0.00858779 |           0.00187441
P_NCF                     |            |  0         |  0.00817661 |  0         |  0         |     0         |        0          |           0

Confidence = 0.9
Measure                   |   Reactive |        FCN |        RNN |        GRU |         LSTM |   Transformer |   Transformer_big |   VanillaTransformer
------------------------- | ---------- | ---------- | ---------- | ---------- | ------------ | ------------- | ----------------- | --------------------
Makespan [s] (simulation) |    90.5656 | 48.5879    | 73.2759    | 45.0017    | 40.2432      |    46.6676    |       46.8957     |          49.0586
Predicted [s] (equation)  |    92.4112 | 51.1872    | 55.7478    | 48.9222    | 44.0953      |    53.6686    |       51.1584     |          53.3408
MTS                       |    29.8531 | 29.4915    | 29.8376    | 29.7429    | 28.9619      |    29.1768    |       30.4666     |          30.2335
MTF                       |    68.855  | 68.8812    | 68.8469    | 68.808     | 68.8212      |    68.8219    |       68.8812     |          68.8142
MTP                       |            | 12.5949    | 22.4825    |  8.85004   |  8.91909     |     9.24703   |        9.41625    |           9.33176
MTN                       |            | 14.1179    | 25.3374    |  8.87762   |  8.88953     |     9.77123   |        9.39691    |           9.48799
P_TP                      |            |  0.455357  |  0.123885  |  0.44287   |  0.472091    |     0.380282  |        0.448998   |           0.429448
P_FN                      |            |  0.0357143 |  0.0406343 |  0.0903454 |  0.0539262   |     0.140063  |        0.0619308  |           0.0832603
P_TN                      |            |  0.409722  |  0.237859  |  0.424269  |  0.448439    |     0.4241    |        0.42714    |           0.414549
P_FP                      |            |  0.047619  |  0.0327056 |  0.0425155 |  0.0245979   |     0.0446009 |        0.0555556  |           0.063979
P_NCS                     |            |  0.0406746 |  0.371655  |  0         |  0.000946074 |     0.0109546 |        0.00637523 |           0.00876424
P_NCF                     |            |  0.0109127 |  0.193261  |  0         |  0           |     0         |        0          |           0

Confidence = 0.95
Measure                   |   Reactive |        FCN |         RNN |        GRU |        LSTM |   Transformer |   Transformer_big |   VanillaTransformer
------------------------- | ---------- | ---------- | ----------- | ---------- | ----------- | ------------- | ----------------- | --------------------
Makespan [s] (simulation) |    90.5656 | 51.74      | 86.3827     | 41.9602    | 42.119      |    46.4864    |        46.356     |           46.1023
Predicted [s] (equation)  |    92.4112 | 48.7358    | 49.7182     | 45.6922    | 46.2007     |    52.7566    |        51.7879    |           51.2784
MTS                       |    29.8531 | 29.3938    | 30.422      | 30.1061    | 30.3731     |    28.3605    |        30.0954    |           29.8279
MTF                       |    68.855  | 68.9233    | 68.8413     | 68.8137    | 68.8532     |    68.9086    |        68.8628    |           68.8575
MTP                       |            | 11.4028    | 19.98       |  8.96551   |  9.04387    |     9.90146   |        10.4426    |            9.93251
MTN                       |            | 17.8813    | 26.3079     |  9.03595   |  8.97792    |    10.3396    |         9.67636   |           10.3966
P_TP                      |            |  0.443107  |  0.0592672  |  0.477099  |  0.438675   |     0.348083  |         0.404553  |            0.391833
P_FN                      |            |  0.0175055 |  0.00215517 |  0.0763359 |  0.0644584  |     0.134956  |         0.0735552 |            0.0842745
P_TN                      |            |  0.347921  |  0.0334052  |  0.417939  |  0.469114   |     0.471239  |         0.436953  |            0.439618
P_FP                      |            |  0.0262582 |  0.00646552 |  0.028626  |  0.0188004  |     0.0250737 |         0.0516637 |            0.0417029
P_NCS                     |            |  0.103939  |  0.479526   |  0         |  0.00895255 |     0.020649  |         0.033275  |            0.0425717
P_NCF                     |            |  0.0612691 |  0.419181   |  0         |  0          |     0         |         0         |            0

Confidence = 0.99
Measure                   |   Reactive |         FCN | RNN   |        GRU |       LSTM |   Transformer |   Transformer_big |   VanillaTransformer
------------------------- | ---------- | ----------- | ----- | ---------- | ---------- | ------------- | ----------------- | --------------------
Makespan [s] (simulation) |    90.5656 | 68.2968     | N/A   | 39.6108    | 41.8823    |    50.1004    |        48.2935    |           43.4142
Predicted [s] (equation)  |    92.4112 | 53.9301     | N/A   | 43.8638    | 46.6282    |    58.1853    |        55.4342    |           47.8854
MTS                       |    29.8531 | 30.7827     | N/A   | 30.0989    | 31.1619    |    30.4355    |        30.419     |           28.6801
MTF                       |    68.855  | 68.8604     | N/A   | 68.8581    | 68.8769    |    68.8758    |        68.8475    |           68.9289
MTP                       |            | 11.0389     | Inf   |  9.50939   |  9.72537   |    10.7156    |        13.7906    |           11.1525
MTN                       |            | 23.2977     | Inf   |  9.25881   |  9.37287   |    13.6244    |        13.3639    |           11.7017
P_TP                      |            |  0.338509   | N/A   |  0.448309  |  0.407341  |     0.330097  |         0.287307  |            0.361644
P_FN                      |            |  0.00931677 | N/A   |  0.0714976 |  0.0698299 |     0.144884  |         0.0926244 |            0.0840183
P_TN                      |            |  0.28882    | N/A   |  0.430918  |  0.470009  |     0.466766  |         0.440823  |            0.434703
P_FP                      |            |  0.0238095  | N/A   |  0.0144928 |  0.0125336 |     0.0149365 |         0.0377358 |            0.0246575
P_NCS                     |            |  0.179089   | 0.5   |  0.0347826 |  0.0402865 |     0.0433159 |         0.141509  |            0.0949772
P_NCF                     |            |  0.160455   | 0.5   |  0         |  0         |     0         |         0         |            0
